file	id	sex	genotype	pop
../10_bam_ready/CE16-0011-F-AA-CE_L006_R1_001.fastq.gz.sorted.bam	CE16-0011	F	AA	CE
../10_bam_ready/CE16-0021-M-BB-CE_L006_R1_001.fastq.gz.sorted.bam	CE16-0021	M	BB	CE
../10_bam_ready/CE16-0029-M-BB-CE_L006_R1_001.fastq.gz.sorted.bam	CE16-0029	M	BB	CE
../10_bam_ready/CE16-0030-F-AA-CE_L006_R1_001.fastq.gz.sorted.bam	CE16-0030	F	AA	CE
../10_bam_ready/CE16-0033-M-BB-CE_L006_R1_001.fastq.gz.sorted.bam	CE16-0033	M	BB	CE
../10_bam_ready/CE16-0062-M-AA-CE_L006_R1_001.fastq.gz.sorted.bam	CE16-0062	M	AA	CE
../10_bam_ready/CE16-0034-F-AB-CE_L006_R1_001.fastq.gz.sorted.bam	CE16-0034	F	AB	CE
../10_bam_ready/CE16-0038-F-AB-CE_L006_R1_001.fastq.gz.sorted.bam	CE16-0038	F	AB	CE
../10_bam_ready/CE16-0041-F-AB-CE_L006_R1_001.fastq.gz.sorted.bam	CE16-0041	F	AB	CE
../10_bam_ready/HA16-0001-F-BB-HA_L006_R1_001.fastq.gz.sorted.bam	HA16-0001	F	BB	HA
../10_bam_ready/HA16-0004-M-BB-HA_L006_R1_001.fastq.gz.sorted.bam	HA16-0004	M	BB	HA
../10_bam_ready/HA16-0005-M-BB-HA_L006_R1_001.fastq.gz.sorted.bam	HA16-0005	M	BB	HA
../10_bam_ready/HA16-0006-F-AA-HA_L006_R1_001.fastq.gz.sorted.bam	HA16-0006	F	AA	HA
../10_bam_ready/HA16-0014-M-AA-HA_L006_R1_001.fastq.gz.sorted.bam	HA16-0014	M	AA	HA
../10_bam_ready/HA16-0020-M-AA-HA_L006_R1_001.fastq.gz.sorted.bam	HA16-0020	M	AA	HA
../10_bam_ready/HA16-0028-F-AB-HA_L006_R1_001.fastq.gz.sorted.bam	HA16-0028	F	AB	HA
../10_bam_ready/HA16-0029-F-AB-HA_L006_R1_001.fastq.gz.sorted.bam	HA16-0029	F	AB	HA
../10_bam_ready/HA16-0033-F-AB-HA_L006_R1_001.fastq.gz.sorted.bam	HA16-0033	F	AB	HA
